iter	AverageGain:top=5
0	0.3488071013
50	0.3488071013
100	0.3488071013
150	0.3488071013
200	0.3488071013
250	0.3488071013
300	0.3488071013
350	0.3488071013
400	0.3488071013
450	0.3488071013
500	0.3488071013
550	0.3488071013
600	0.3488071013
650	0.3488071013
700	0.3488071013
750	0.3488071013
800	0.3488071013
850	0.3488071013
900	0.3488071013
950	0.3488071013
1000	0.3488071013
1050	0.3488071013
1100	0.3488071013
1150	0.3488071013
1200	0.3488071013
1250	0.3488071013
1300	0.3488071013
1350	0.3488071013
1400	0.3488071013
1450	0.3488071013
1500	0.3488071013
1550	0.3488071013
1600	0.3488071013
1650	0.3488071013
1700	0.3488071013
1750	0.3488071013
1800	0.3488071013
1850	0.3488071013
1900	0.3488071013
1950	0.3488071013
1999	0.3488071013
